Frequency (Hz),Level (dB)
43.066406,-41.004822
86.132812,-37.565197
129.199219,-38.135563
172.265625,-33.101063
215.332031,-27.194887
258.398438,-24.949562
301.464844,-34.025177
344.53125,-42.351044
387.597656,-46.527733
430.664062,-39.447998
473.730469,-25.784008
516.796875,-25.592451
559.863281,-38.913265
602.929688,-50.172642
645.996094,-52.232517
689.0625,-32.49081
732.128906,-22.700674
775.195312,-25.342718
818.261719,-44.478622
861.328125,-56.241119
904.394531,-57.409958
947.460938,-38.184219
990.527344,-31.755371
1033.59375,-37.087486
1076.660156,-50.470173
1119.726562,-53.393486
1162.792969,-53.886105
1205.859375,-40.499657
1248.925781,-37.284019
1291.992188,-46.243191
1335.058594,-62.006348
1378.125,-59.719028
1421.191406,-57.471031
1464.257812,-48.481026
1507.324219,-48.246452
1550.390625,-58.544628
1593.457031,-61.703613
1636.523438,-60.801201
1679.589844,-45.83432
1722.65625,-35.279392
1765.722656,-37.398125
1808.789062,-55.004051
1851.855469,-62.149853
1894.921875,-65.565628
1937.988281,-50.168293
1981.054688,-42.72023
2024.121094,-47.29425
2067.1875,-65.560661
2110.253906,-66.322678
2153.320312,-66.738472
2196.386719,-50.936283
2239.453125,-46.661476
2282.519531,-53.84177
2325.585938,-64.656006
2368.652344,-67.560181
2411.71875,-65.615181
2454.785156,-52.613289
2497.851562,-50.92812
2540.917969,-60.583858
2583.984375,-65.137543
2627.050781,-64.777122
2670.117188,-62.766903
2713.183594,-52.325848
2756.25,-52.552212
2799.316406,-62.868088
2842.382812,-67.644234
2885.449219,-67.577187
2928.515625,-60.681583
2971.582031,-51.458981
3014.648438,-53.88525
3057.714844,-68.386681
3100.78125,-69.734283
3143.847656,-69.200676
3186.914062,-54.297932
3229.980469,-48.791225
3273.046875,-54.667168
3316.113281,-70.465309
3359.179688,-67.724388
3402.246094,-67.657616
3445.3125,-63.373276
3488.378906,-59.285175
3531.445312,-65.138351
3574.511719,-69.096306
3617.578125,-67.051285
3660.644531,-58.178799
3703.710938,-46.268978
3746.777344,-46.768913
3789.84375,-60.401714
3832.910156,-71.998009
3875.976562,-71.263435
3919.042969,-68.214417
3962.109375,-54.462906
4005.175781,-53.082787
4048.242188,-63.095951
4091.308594,-68.828705
4134.375,-69.463646
4177.441406,-64.43615
4220.507812,-52.667362
4263.574219,-52.813831
4306.640625,-65.785515
4349.707031,-72.018044
4392.773438,-72.037125
4435.839844,-68.724106
4478.90625,-61.593372
4521.972656,-63.75053
4565.039062,-72.105598
4608.105469,-72.991257
4651.171875,-71.445602
4694.238281,-72.359749
4737.304688,-70.414055
4780.371094,-70.692757
4823.4375,-71.385124
4866.503906,-71.899078
4909.570312,-71.86438
4952.636719,-69.355583
4995.703125,-63.963505
5038.769531,-67.633507
5081.835938,-73.70388
5124.902344,-73.236794
5167.96875,-71.655045
5211.035156,-66.942749
5254.101562,-62.254349
5297.167969,-67.194031
5340.234375,-72.859238
5383.300781,-73.44783
5426.367188,-71.908226
5469.433594,-68.412071
5512.5,-64.775887
5555.566406,-70.231644
5598.632812,-73.264442
5641.699219,-72.697273
5684.765625,-73.539261
5727.832031,-72.323059
5770.898438,-70.148827
5813.964844,-72.729225
5857.03125,-74.941765
