Frequency (Hz)	Level (dB)
43.066406	-32.715694
86.132812	-28.705044
129.199219	-17.739489
172.265625	-13.371507
215.332031	-21.561115
258.398438	-31.884977
301.464844	-29.589022
344.531250	-27.475771
387.597656	-33.232918
430.664062	-33.202763
473.730469	-35.178303
516.796875	-35.596355
559.863281	-38.335827
602.929688	-38.591793
645.996094	-51.375904
689.062500	-53.499660
732.128906	-50.306709
775.195312	-51.196892
818.261719	-52.282719
861.328125	-52.213825
904.394531	-50.399750
947.460938	-52.629982
990.527344	-51.656975
1033.593750	-55.021347
1076.660156	-55.330631
1119.726562	-53.794037
1162.792969	-48.962467
1205.859375	-52.386116
1248.925781	-53.069752
1291.992188	-53.668919
1335.058594	-56.626392
1378.125000	-59.393181
1421.191406	-63.207832
1464.257812	-64.259804
1507.324219	-61.267601
1550.390625	-62.063244
1593.457031	-62.616009
1636.523438	-63.153507
1679.589844	-58.751163
1722.656250	-54.426693
1765.722656	-54.279747
1808.789062	-62.849026
1851.855469	-65.591560
1894.921875	-65.775192
1937.988281	-66.128563
1981.054688	-65.551414
2024.121094	-65.254997
2067.187500	-64.785423
2110.253906	-65.859085
2153.320312	-66.381226
2196.386719	-61.374481
2239.453125	-61.895405
2282.519531	-66.001396
2325.585938	-65.498154
2368.652344	-64.284042
2411.718750	-65.535301
2454.785156	-66.782745
2497.851562	-67.385216
2540.917969	-67.881393
2583.984375	-67.217171
2627.050781	-67.074104
2670.117188	-67.305840
2713.183594	-65.998436
2756.250000	-65.664085
2799.316406	-67.098228
2842.382812	-65.375954
2885.449219	-67.101494
2928.515625	-69.188332
2971.582031	-68.587181
3014.648438	-68.185150
3057.714844	-68.914055
3100.781250	-70.017021
3143.847656	-69.186646
3186.914062	-69.450157
3229.980469	-68.935257
3273.046875	-70.623405
3316.113281	-70.443329
3359.179688	-69.861084
3402.246094	-69.765366
3445.312500	-71.303307
3488.378906	-71.250946
3531.445312	-71.649429
3574.511719	-72.717384
3617.578125	-72.475067
3660.644531	-71.579155
3703.710938	-71.494141
3746.777344	-72.125191
3789.843750	-72.912857
3832.910156	-72.379486
3875.976562	-72.241837
3919.042969	-72.306488
3962.109375	-72.871513
4005.175781	-73.541199
4048.242188	-73.335266
4091.308594	-72.443642
4134.375000	-72.873100
4177.441406	-72.887962
4220.507812	-73.430252
4263.574219	-73.649269
4306.640625	-73.418945
4349.707031	-73.786621
